company_name,title,education,career,deadline,skill
동성인재개발교육원,웹개발 (정규직) 모집,학력무관,경력 · 인턴직,2024.12.31,"백엔드/서버개발,앱개발,웹개발,웹마스터,유지보수"
(주)드림텍,각 부문별 경력사원 모집,"대학(2,3년)↑",경력 2년↑ · 계약직 외,,"기술지원,유지보수,정보보안,IT컨설팅,SE(시스템엔지니어)"
(주)에이블리,동아화성(주) 2024년 하반기 신입 및 경력직원 모집,대학교(4년)↑,7 ~ 12년 · 정규직,2024.12.12,"AWS,CSS,HTML,Java,PostgreSQL"
신일제약(주),"IT 시스템 엔지니어(서버, 가상화, 클라우드) 신입 및 경력 채용","대학(2,3년)↑",경력무관 · 계약직 외,2024.12.16,"기술지원,유지보수,IT컨설팅,네트워크,솔루션"
(주)네오랩컨버전스,[국비무료]무역/물류 실무자 취업률100%(고용24)훈련생 모집,학력무관,경력 3년↑ · 정규직,,"VR(가상현실),2D디자인,3D디자인,Maya,Substance"
(주)지란지교시큐리티,(주)드림텍 2024년 4분기 연구·개발부문 채용,학력무관,신입 · 경력 · 정규직,2024.12.26,"QA/테스터,연구원,R&D,자율주행,SQA"
(주)드림텍,반도체장비 연구소 & 엔지니어 & 제조기술 부문별 신입 및 경력사원 채용,"대학(2,3년)↑",경력 5년↑ · 정규직,2024.02.01,"기술지원,백엔드/서버개발,프론트엔드,SE(시스템엔지니어),네트워크"
(주)가스트론,신일제약㈜ 2024년 하반기 수시채용,"대학(2,3년)↑",5 ~ 15년 · 정규직,2024.01.01,"기술지원,유지보수,SE(시스템엔지니어),SI개발,C#"
(주)비투엔,[NeoLAB] 해외사업/상품기획/프론트엔드/생산기술 경력직 채용,학력무관,경력무관 · 정규직,2024.01.04,"프론트엔드,API,CSS,Git,HTML"
네이버시스템(주),킨코스코리아(주) 영업부문/디자이너 경력직 채용,"대학(2,3년)↑",경력 5년↑ · 정규직 외,2024.01.04,"유지보수,정보보안"
(주)에이치제이,지란지교시큐리티 각 부문별 인재 채용,학력무관,경력 5년↑ · 정규직,2024.01.06,"앱개발,웹개발,유지보수,SI개발"
(주)비아이지엠,(주)드림텍 2024년 4분기 관리·제조부문 채용,"대학(2,3년)↑",경력 · 정규직,2024.12.31,"앱개발,웹개발,유지보수,정보보안,DBA"
(주)크레이버코퍼레이션,각 부문별 신입/경력사원 모집,"대학(2,3년)↑",신입 · 경력 · 정규직,2024.12.31,"ASP.NET,Java,Javascript,MSSQL,총무"
(주)메디코슨,[비투엔] 데이터 솔루션 및 SI 영업 담당자 채용,대학교(4년)↑,신입 · 경력 · 정규직,2024.12.31,"프론트엔드,SE(시스템엔지니어),방화벽,DBMS,DLP"
