company_name,company_category,company_place,company_url
주식회사로아,솔루션·SI·ERP·CRM,No address,"http://map.kakao.com/link/map/%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%EB%A1%9C%EC%95%84,35.1443184545334,129.036309884005"
(주)비엔케이시스템,컴퓨터시스템 통합 자문 및 구축 서비스업,부산 강서구 미음산단로127번길 21,http://bnksys.co.kr
티디케이한국(주),전자축전기 제조업,경기 평택시 청북읍 현곡산단로 104,http://www.kr.tdk.com
쿠어스텍코리아(유),위생용 및 산업용 도자기 제조업,경북 구미시 4공단로7길 23-28,http://www.coorstek.com
(주)에스제이그룹,가방 및 기타 보호용 케이스 제조업,서울 강남구 도곡로 156,http://www.kangolkorea.com
(주)소프트위드솔루션,http://www.softwith.com,No address,No hompage URL
(주)소프트위드솔루션,http://www.softwith.com,No address,No hompage URL
(주)대륜,컴퓨터시스템 통합 자문 및 구축 서비스업,"서울 영등포구 여의대로 24, 21층",https://www.daeryunlaw.com
(주)하이텔레서비스,콜센터 및 텔레마케팅 서비스업,"서울 강서구 마곡중앙5로 18, 3,4,5층",http://www.hiteleservice.co.kr
(주)피아이이,그 외 기타 특수목적용 기계 제조업,"경기 화성시 동탄기흥로 614, 19층 (영천동,더퍼스트타워2차)",http://www.piegroup.co.kr/
(주)위포,"컴퓨터 및 주변장치, 소프트웨어 도매업",대전 서구 둔산대로117번길 102,http://www.wefor.com
(주)마텍무역,의료기기 도매업,"경기 안양시 만안구 예술공원로154번길 7, 2층 (안양동,마텍빌딩)",http://www.marktech.co.kr
중앙일보(주),신문 발행업,No address,No homepage URL
한국로슈진단(주),의약품 도매업,서울 강남구 테헤란로108길 22,http://www.roche-diagnostics.co.kr
에이치제이네트웍스,솔루션·SI·ERP·CRM,No address,"http://map.kakao.com/link/map/%EC%97%90%EC%9D%B4%EC%B9%98%EC%A0%9C%EC%9D%B4%EB%84%A4%ED%8A%B8%EC%9B%8D%EC%8A%A4,37.4766451549316,126.889578522942"
에이치제이네트웍스,솔루션·SI·ERP·CRM,No address,"http://map.kakao.com/link/map/%EC%97%90%EC%9D%B4%EC%B9%98%EC%A0%9C%EC%9D%B4%EB%84%A4%ED%8A%B8%EC%9B%8D%EC%8A%A4,37.4766451549316,126.889578522942"
